#COMBINATION;FREQ1;FREQ2;ORDER1;ORDER2;SIGN
2.922482E10;2.062494E10;3.265E10;3;1;-
2.915019E10;2.062473E10;3.2724E10;3;1;-
2.935777E10;2.062459E10;3.2516E10;3;1;-
2.8174E10;2.0295E10;3.2711E10;3;1;-
2.934735E10;2.062445E10;3.2526E10;3;1;-
2.928758E10;2.062486E10;3.2587E10;3;1;-
2.915948E10;2.062416E10;3.2713E10;3;1;-
2.922038E10;2.062446E10;3.2653E10;3;1;-
2.914575E10;2.062425E10;3.2727E10;3;1;-
2.935333E10;2.062411E10;3.2519E10;3;1;-
1.4087E10;3.2741E10;2.1034E10;3;4;-
2.928314E10;2.062438E10;3.259E10;3;1;-
2.927249E10;2.062483E10;3.2602E10;3;1;-
2.916238E10;2.062446E10;3.2711E10;3;1;-
2.919487E10;2.062429E10;3.2678E10;3;1;-
2.926207E10;2.062469E10;3.2612E10;3;1;-
2.91728E10;2.06246E10;3.2701E10;3;1;-
2.920529E10;2.062443E10;3.2668E10;3;1;-
2.936552E10;2.062484E10;3.2509E10;3;1;-
2.926805E10;2.062435E10;3.2605E10;3;1;-
2.929202E10;2.062434E10;3.2581E10;3;1;-
2.932451E10;2.062417E10;3.2548E10;3;1;-
2.916836E10;2.062412E10;3.2704E10;3;1;-
2.920085E10;2.062495E10;3.2674E10;3;1;-
2.917126E10;2.062442E10;3.2702E10;3;1;-
2.924476E10;2.062492E10;3.263E10;3;1;-
2.927095E10;2.062465E10;3.2603E10;3;1;-
2.914285E10;2.062495E10;3.2732E10;3;1;-
2.9576E10;2.0772E10;3.274E10;3;1;-
2.920375E10;2.062425E10;3.2669E10;3;1;-
2.936398E10;2.062466E10;3.251E10;3;1;-
2.916682E10;2.062494E10;3.2708E10;3;1;-
2.919931E10;2.062477E10;3.2675E10;3;1;-
2.926651E10;2.062417E10;3.2606E10;3;1;-
2.918866E10;2.062422E10;3.2684E10;3;1;-
2.924843E10;2.062481E10;3.2626E10;3;1;-
2.925364E10;2.062488E10;3.2621E10;3;1;-
2.9912E10;2.0884E10;3.274E10;3;1;-
2.93164E10;2.06248E10;3.2558E10;3;1;-
2.917901E10;2.062467E10;3.2695E10;3;1;-
2.931119E10;2.062473E10;3.2563E10;3;1;-
2.924399E10;2.062433E10;3.2629E10;3;1;-
2.918422E10;2.062474E10;3.269E10;3;1;-
2.92492E10;2.06244E10;3.2624E10;3;1;-
2.917978E10;2.062426E10;3.2693E10;3;1;-
2.931196E10;2.062432E10;3.2561E10;3;1;-
2.9854E10;2.0865E10;3.2741E10;3;1;-
2.919233E10;2.062411E10;3.268E10;3;1;-
2.925731E10;2.062477E10;3.2617E10;3;1;-
2.932007E10;2.062469E10;3.2554E10;3;1;-
2.932528E10;2.062476E10;3.2549E10;3;1;-
2.925808E10;2.062436E10;3.2615E10;3;1;-
2.918789E10;2.062463E10;3.2686E10;3;1;-
2.925287E10;2.062429E10;3.262E10;3;1;-
2.932084E10;2.062428E10;3.2552E10;3;1;-
2.918345E10;2.062415E10;3.2689E10;3;1;-
2.931563E10;2.062421E10;3.2557E10;3;1;-
1.2918E10;3.2538E10;2.1174E10;3;4;-
2.933226E10;2.062442E10;3.2541E10;3;1;-
2.936475E10;2.062425E10;3.2508E10;3;1;-
2.91351E10;2.06247E10;3.2739E10;3;1;-
2.916759E10;2.062453E10;3.2706E10;3;1;-
2.926728E10;2.062476E10;3.2607E10;3;1;-
2.929977E10;2.062459E10;3.2574E10;3;1;-
2.920008E10;2.062436E10;3.2673E10;3;1;-
2.923257E10;2.062419E10;3.264E10;3;1;-
2.936031E10;2.062477E10;3.2514E10;3;1;-
2.913066E10;2.062422E10;3.2742E10;3;1;-
2.916315E10;2.062405E10;3.2709E10;3;1;-
2.919564E10;2.062488E10;3.2679E10;3;1;-
2.926284E10;2.062428E10;3.261E10;3;1;-
2.929533E10;2.062411E10;3.2577E10;3;1;-
2.932782E10;2.062494E10;3.2547E10;3;1;-
2.922813E10;2.062471E10;3.2646E10;3;1;-
2.927616E10;2.062472E10;3.2598E10;3;1;-
2.930865E10;2.062455E10;3.2565E10;3;1;-
2.934114E10;2.062438E10;3.2532E10;3;1;-
1.3086E10;3.2594E10;2.1174E10;3;4;-
2.920896E10;2.062432E10;3.2664E10;3;1;-
2.924145E10;2.062415E10;3.2631E10;3;1;-
2.930421E10;2.062407E10;3.2568E10;3;1;-
2.93367E10;2.06249E10;3.2538E10;3;1;-
2.913954E10;2.062418E10;3.2733E10;3;1;-
1.3254E10;3.265E10;2.1174E10;3;4;-
2.927172E10;2.062424E10;3.2601E10;3;1;-
1.2889E10;3.2527E10;2.1173E10;3;4;-
2.917203E10;2.062401E10;3.27E10;3;1;-
2.920452E10;2.062484E10;3.267E10;3;1;-
2.923701E10;2.062467E10;3.2637E10;3;1;-
2.913723E10;2.062441E10;3.2736E10;3;1;-
2.924417E10;2.062439E10;3.2629E10;3;1;-
2.929764E10;2.062488E10;3.2577E10;3;1;-
2.923044E10;2.062448E10;3.2643E10;3;1;-
2.928391E10;2.062497E10;3.2591E10;3;1;-
2.920298E10;2.062466E10;3.2671E10;3;1;-
2.927018E10;2.062406E10;3.2602E10;3;1;-
2.921671E10;2.062457E10;3.2657E10;3;1;-
1.3057E10;3.2583E10;2.1173E10;3;4;-
2.918925E10;2.062475E10;3.2685E10;3;1;-
2.934966E10;2.062422E10;3.2523E10;3;1;-
2.936339E10;2.062413E10;3.2509E10;3;1;-
2.8992E10;2.0578E10;3.2742E10;3;1;-
2.920588E10;2.062496E10;3.2669E10;3;1;-
